1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,1399.00,0.00,0.00,1399.00,1399.00,0.00,0.00,0.00,0.00,0.00,0.00,1399.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1399.00,0.00,0.00,1399.00
1971:Q1,1218.00,0.00,0.00,1218.00,1218.00,0.00,0.00,0.00,0.00,0.00,0.00,1218.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1218.00,0.00,0.00,1218.00
1971:Q2,1096.00,0.00,0.00,1096.00,1096.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1096.00,0.00,0.00,1096.00
1971:Q3,1027.00,0.00,0.00,1027.00,1027.00,0.00,0.00,0.00,0.00,0.00,0.00,1027.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1027.00,0.00,0.00,1027.00
1971:Q4,1302.00,0.00,0.00,1302.00,1302.00,0.00,0.00,0.00,0.00,0.00,0.00,1302.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1302.00,0.00,0.00,1302.00
1972:Q1,1346.00,0.00,0.00,1346.00,1346.00,0.00,0.00,0.00,0.00,0.00,0.00,1346.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1346.00,0.00,0.00,1346.00
1972:Q2,1222.00,0.00,0.00,1222.00,1222.00,0.00,0.00,0.00,0.00,0.00,0.00,1222.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1222.00,0.00,0.00,1222.00
1972:Q3,1341.00,0.00,0.00,1341.00,1341.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.00,0.00,0.00,1341.00
1972:Q4,1173.00,0.00,0.00,1173.00,1173.00,0.00,0.00,0.00,0.00,0.00,0.00,1173.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1173.00,0.00,0.00,1173.00
1973:Q1,1646.00,0.00,0.00,1646.00,1646.00,0.00,0.00,0.00,0.00,0.00,0.00,1646.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1646.00,0.00,0.00,1646.00
1973:Q2,1801.00,0.00,0.00,1801.00,1801.00,0.00,0.00,0.00,0.00,0.00,0.00,1801.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1801.00,0.00,0.00,1801.00
1973:Q3,1979.00,0.00,0.00,1979.00,1979.00,0.00,0.00,0.00,0.00,0.00,0.00,1979.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1979.00,0.00,0.00,1979.00
1973:Q4,1671.00,0.00,0.00,1671.00,1671.00,0.00,0.00,0.00,0.00,0.00,0.00,1671.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1671.00,0.00,0.00,1671.00
1974:Q1,1757.00,0.00,0.00,1757.00,1757.00,0.00,0.00,0.00,0.00,0.00,0.00,1757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1757.00,0.00,0.00,1757.00
1974:Q2,1871.00,0.00,0.00,1871.00,1871.00,0.00,0.00,0.00,0.00,0.00,0.00,1871.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1871.00,0.00,0.00,1871.00
1974:Q3,1692.00,0.00,0.00,1692.00,1692.00,0.00,0.00,0.00,0.00,0.00,0.00,1692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1692.00,0.00,0.00,1692.00
1974:Q4,1406.00,0.00,0.00,1406.00,1406.00,0.00,0.00,0.00,0.00,0.00,0.00,1406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1406.00,0.00,0.00,1406.00
1975:Q1,1542.00,0.00,0.00,1542.00,1542.00,0.00,0.00,0.00,0.00,0.00,0.00,1542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1542.00,0.00,0.00,1542.00
1975:Q2,1345.00,0.00,0.00,1345.00,1345.00,0.00,0.00,0.00,0.00,0.00,0.00,1345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1345.00,0.00,0.00,1345.00
1975:Q3,1076.00,0.00,0.00,1076.00,1076.00,0.00,0.00,0.00,0.00,0.00,0.00,1076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1076.00,0.00,0.00,1076.00
