date,FL413065005.Q,FL413065105.Q,FL413065405.Q,FL413065505.Q,FL413065605.Q,FL413065005.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7.00,0.00,0.00,0.00,7.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32.00,0.00,0.00,0.00,32.00,32.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
2010:Q2,1054075.00,988722.00,61526.00,0.00,3827.00,1054075.00
2010:Q3,1103513.00,1034669.00,65042.00,0.00,3802.00,1103513.00
2010:Q4,1146814.00,1074964.00,68091.00,0.00,3759.00,1146814.00
2011:Q1,1194287.00,1118630.00,72427.00,0.00,3230.00,1194287.00
2011:Q2,1243237.00,1161807.00,78226.00,0.00,3204.00,1243237.00
2011:Q3,1284499.00,1200611.00,82193.00,0.00,1695.00,1284499.00
2011:Q4,1311884.00,1222902.00,87332.00,0.00,1650.00,1311884.00
2012:Q1,1336809.00,1243161.00,92046.00,0.00,1602.00,1336809.00
2012:Q2,1383839.00,1281819.00,99986.00,0.00,2034.00,1383839.00
2012:Q3,1414356.00,1307147.00,105214.00,0.00,1995.00,1414356.00
2012:Q4,1442727.00,1326581.00,114222.00,0.00,1924.00,1442727.00
2013:Q1,1468060.00,1344713.00,121482.00,0.00,1865.00,1468060.00
2013:Q2,1502437.00,1369785.00,130819.00,0.00,1833.00,1502437.00
2013:Q3,1544992.00,1403680.00,139507.00,0.00,1805.00,1544992.00
2013:Q4,1573512.00,1423935.00,147810.00,0.00,1767.00,1573512.00
2014:Q1,1589754.00,1435287.00,152728.00,0.00,1739.00,1589754.00
2014:Q2,1603922.00,1443921.00,158292.00,0.00,1709.00,1603922.00
2014:Q3,1627514.00,1461923.00,163910.00,0.00,1681.00,1627514.00
2014:Q4,1648504.00,1474761.00,172106.00,0.00,1637.00,1648504.00
2015:Q1,1646186.00,1468885.00,175703.00,0.00,1598.00,1646186.00
2015:Q2,1677244.00,1491089.00,184582.00,0.00,1573.00,1677244.00
2015:Q3,1729458.00,1536482.00,190607.00,0.00,2369.00,1729458.00
2015:Q4,1775452.00,1568836.00,204284.00,0.00,2332.00,1775452.00
