1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q1,1050659.00,229394.00,229394.00,0.00,0.00,0.00,821265.00,1050659.00,1049224.00,227959.00,821265.00,1049224.00,1435.00
1988:Q2,1066351.00,236775.00,236775.00,0.00,0.00,0.00,829576.00,1066351.00,1064505.00,234929.00,829576.00,1064505.00,1846.00
1988:Q3,1082442.00,250464.00,250461.00,0.00,3.00,5.00,831973.00,1082442.00,1080166.00,248193.00,831973.00,1080166.00,2276.00
1988:Q4,1098757.00,267465.00,267461.00,0.00,4.00,7.00,831285.00,1098757.00,1096015.00,264730.00,831285.00,1096015.00,2742.00
1989:Q1,1114906.00,263402.00,263395.00,0.00,7.00,18.00,851486.00,1114906.00,1111662.00,260176.00,851486.00,1111662.00,3244.00
1989:Q2,1131395.00,271954.00,271944.00,0.00,10.00,27.00,859414.00,1131395.00,1127604.00,268190.00,859414.00,1127604.00,3791.00
1989:Q3,1148127.00,285461.00,285448.00,0.00,13.00,42.00,862624.00,1148127.00,1143803.00,281179.00,862624.00,1143803.00,4324.00
1989:Q4,1164974.00,304160.00,304142.00,0.00,18.00,55.00,860759.00,1164974.00,1160046.00,299287.00,860759.00,1160046.00,4928.00
1990:Q1,1181405.00,299493.00,299466.00,0.00,27.00,89.00,881823.00,1181405.00,1175861.00,294038.00,881823.00,1175861.00,5544.00
1990:Q2,1198148.00,307209.00,307172.00,0.00,37.00,123.00,890816.00,1198148.00,1191891.00,301075.00,890816.00,1191891.00,6257.00
1990:Q3,1215099.00,321538.00,321492.00,0.00,46.00,142.00,893419.00,1215099.00,1208167.00,314748.00,893419.00,1208167.00,6932.00
1990:Q4,1232462.00,340214.00,340122.00,0.00,92.00,340.00,891908.00,1232462.00,1224549.00,332641.00,891908.00,1224549.00,7913.00
1991:Q1,1249442.00,334812.00,334695.00,0.00,117.00,449.00,914181.00,1249442.00,1240812.00,326631.00,914181.00,1240812.00,8630.00
1991:Q2,1266833.00,344928.00,344798.00,0.00,130.00,474.00,921431.00,1266833.00,1257432.00,336001.00,921431.00,1257432.00,9401.00
1991:Q3,1284728.00,360162.00,360000.00,20.00,142.00,751.00,923815.00,1284728.00,1274449.00,350634.00,923815.00,1274449.00,10279.00
1991:Q4,1303067.00,381337.00,381135.00,45.00,157.00,1045.00,920685.00,1303067.00,1291684.00,370999.00,920685.00,1291684.00,11383.00
1992:Q1,1321525.00,375581.00,375323.00,80.00,178.00,1385.00,944559.00,1321525.00,1309244.00,364685.00,944559.00,1309244.00,12281.00
1992:Q2,1340293.00,386092.00,385790.00,107.00,195.00,1696.00,952505.00,1340293.00,1326879.00,374374.00,952505.00,1326879.00,13414.00
1992:Q3,1359115.00,402375.00,402007.00,148.00,220.00,2001.00,954739.00,1359115.00,1344641.00,389902.00,954739.00,1344641.00,14474.00
1992:Q4,1378009.00,424173.00,423749.00,183.00,241.00,2415.00,951421.00,1378009.00,1362207.00,410786.00,951421.00,1362207.00,15802.00
1993:Q1,1395917.00,416883.00,416404.00,217.00,262.00,2929.00,976105.00,1395917.00,1378925.00,402820.00,976105.00,1378925.00,16992.00
1993:Q2,1413848.00,427319.00,426758.00,268.00,293.00,3293.00,983236.00,1413848.00,1395619.00,412383.00,983236.00,1395619.00,18229.00
1993:Q3,1431933.00,442999.00,442335.00,332.00,332.00,3779.00,985155.00,1431933.00,1412385.00,427230.00,985155.00,1412385.00,19548.00
1993:Q4,1450154.00,464457.00,463717.00,380.00,360.00,4398.00,981299.00,1450154.00,1429163.00,447864.00,981299.00,1429163.00,20991.00
1994:Q1,1467666.00,457146.00,456314.00,438.00,394.00,4792.00,1005728.00,1467666.00,1445676.00,439948.00,1005728.00,1445676.00,21990.00
1994:Q2,1485632.00,467358.00,466501.00,454.00,403.00,5179.00,1013095.00,1485632.00,1462468.00,449373.00,1013095.00,1462468.00,23164.00
1994:Q3,1504464.00,483012.00,482125.00,473.00,414.00,5832.00,1015620.00,1504464.00,1479503.00,463883.00,1015620.00,1479503.00,24961.00
1994:Q4,1522768.00,505555.00,504672.00,470.00,413.00,6179.00,1011034.00,1522768.00,1496540.00,485506.00,1011034.00,1496540.00,26228.00
