1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,145488.00,39444.00,36472.00,-1688.00,73104.00,44680.00,24892.00,8048.00,50760.00,15364.00
1975:Q1,162093.00,49181.00,32000.00,2113.00,39148.00,16252.00,64724.00,9040.00,-19132.00,8528.00
1975:Q2,192345.00,33217.00,32088.00,-2651.00,38968.00,14438.00,111456.00,8704.00,-1612.00,13704.00
1975:Q3,210125.00,68745.00,40868.00,11773.00,39772.00,22159.00,95884.00,5724.00,-15764.00,13216.00
1975:Q4,220909.00,79725.00,53948.00,19845.00,34728.00,18360.00,85340.00,21116.00,62584.00,21056.00
1976:Q1,262014.00,93862.00,58348.00,19262.00,65388.00,31964.00,80164.00,22600.00,640.00,17372.00
1976:Q2,258398.00,73942.00,46428.00,18102.00,69796.00,43549.00,89040.00,25620.00,24536.00,18060.00
1976:Q3,251346.00,84238.00,59580.00,19762.00,77336.00,48106.00,74704.00,15068.00,23088.00,12248.00
1976:Q4,243582.00,98758.00,66180.00,30734.00,82996.00,53957.00,51232.00,10596.00,77904.00,34260.00
1977:Q1,309180.00,132740.00,77264.00,28264.00,109488.00,65440.00,50772.00,16180.00,-11768.00,-36.00
1977:Q2,292740.00,125328.00,80400.00,40920.00,110056.00,64400.00,32500.00,24856.00,65800.00,12320.00
1977:Q3,373728.00,135412.00,92380.00,36092.00,109488.00,69619.00,108396.00,20432.00,38448.00,22660.00
1977:Q4,344484.00,127972.00,93652.00,37884.00,138556.00,97214.00,59908.00,18048.00,122612.00,18580.00
1978:Q1,403523.00,165175.00,98756.00,39675.00,143412.00,98086.00,58000.00,36936.00,11796.00,3564.00
1978:Q2,405919.00,170987.00,95368.00,60227.00,141648.00,81049.00,55352.00,37932.00,102700.00,14988.00
1978:Q3,415963.00,167419.00,111408.00,45191.00,123760.00,58470.00,87120.00,37664.00,56020.00,17912.00
1978:Q4,375851.00,148875.00,119816.00,40559.00,144180.00,81814.00,37584.00,45212.00,136460.00,58612.00
1979:Q1,371155.00,180723.00,123032.00,45223.00,148516.00,95308.00,11808.00,30108.00,33016.00,-4120.00
1979:Q2,398163.00,156767.00,104888.00,44711.00,180460.00,86793.00,34592.00,26344.00,126676.00,20744.00
1979:Q3,454907.00,173299.00,117648.00,45931.00,170104.00,88908.00,84144.00,27360.00,92236.00,51596.00
1979:Q4,355091.00,145943.00,120380.00,37379.00,141880.00,74702.00,44620.00,22648.00,136480.00,-7256.00
1980:Q1,373409.00,135521.00,95028.00,17909.00,161140.00,88963.00,54396.00,22352.00,59764.00,4968.00
1980:Q2,280961.00,50397.00,62628.00,-25283.00,98376.00,43590.00,111404.00,20784.00,70172.00,31696.00
1980:Q3,346037.00,118129.00,97956.00,5961.00,108880.00,48097.00,95980.00,23048.00,63828.00,27708.00
1980:Q4,420665.00,141877.00,105268.00,15125.00,172776.00,107766.00,83324.00,22688.00,134588.00,31968.00
1981:Q1,390353.00,100385.00,72352.00,21285.00,141820.00,66810.00,120720.00,27428.00,20044.00,13620.00
1981:Q2,448305.00,127489.00,85868.00,22921.00,229096.00,165199.00,73364.00,18356.00,149220.00,33360.00
1981:Q3,398553.00,96137.00,58876.00,27865.00,205360.00,151436.00,64328.00,32728.00,150276.00,21988.00
1981:Q4,415797.00,76465.00,50852.00,7281.00,183880.00,117841.00,123484.00,31968.00,107376.00,24756.00
1982:Q1,482877.00,86045.00,54152.00,22625.00,216932.00,167307.00,136676.00,43224.00,28824.00,6600.00
1982:Q2,408285.00,79473.00,36508.00,20689.00,184272.00,120574.00,100912.00,43628.00,159228.00,15132.00
1982:Q3,515653.00,63149.00,33344.00,9769.00,185480.00,117718.00,228264.00,38760.00,67708.00,23896.00
1982:Q4,458785.00,118841.00,65704.00,22261.00,71044.00,20621.00,227632.00,41268.00,132704.00,19384.00
1983:Q1,541420.00,127152.00,87980.00,23876.00,110164.00,34537.00,260952.00,43152.00,14324.00,13412.00
1983:Q2,627776.00,167220.00,95416.00,37940.00,153728.00,94996.00,243936.00,62892.00,127652.00,18436.00
1983:Q3,639532.00,198280.00,115052.00,52892.00,197108.00,129212.00,205600.00,38544.00,119716.00,12000.00
1983:Q4,565576.00,230412.00,122388.00,77932.00,201892.00,118850.00,88520.00,44752.00,168200.00,22772.00
1984:Q1,828608.00,243848.00,145764.00,79420.00,285004.00,175820.00,253304.00,46452.00,71252.00,10720.00
1984:Q2,813712.00,225460.00,120136.00,99272.00,350412.00,231787.00,182140.00,55700.00,191292.00,54612.00
1984:Q3,798108.00,174088.00,111436.00,71504.00,306120.00,190415.00,245152.00,72748.00,191192.00,-31308.00
1984:Q4,801896.00,242952.00,132980.00,76628.00,341632.00,230488.00,182112.00,35200.00,205184.00,-1900.00
1985:Q1,967596.00,317898.00,193140.00,99470.00,263170.00,159883.00,283304.00,103224.00,110556.00,-7000.00
